sentence,sentiment
Sorry for the missing class src/java/org/apache/jdo/tck/lifecycle/StateTransitionsReturnedObjects.java.,negative
That would suck.,negative
"Sorry, no longer working on this",negative
"Hi Marco,

I changed the name of patch because it was made in Java earliar, sorry for inconvenience.",negative
"Thanks, Alexei!",positive
"but app developers should always explicitly set it based on their application

My guess is that a large enough group of people take the defaults that it matters.",negative
"Thanks, Joseph!",positive
Stupid Maven,negative
"Best regards,
Andrew",positive
"Thanks for the patch Niall, +1",positive
"I'm sorry Mark,

I came back here to remove my comment as after building the app from scratch I have found that by default it used 
WhenExhaustedAction = GROW and not BLOCK!",negative
"Sorry if this spam's things, however it's unlikely that I'll work on these.",negative
"It may suck, but at least *I* won't be the one bringing in a dumb dependency to a logging library.",negative
This way lies metadata hell.,negative
My Bad.,negative
Thanks for providing the patch.,positive
You are messing down deep below hbase in dfs.,negative
> We can't let fear of back-compat prevent us from making progress.,negative
If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.,negative
v2 Looks good to me.,positive
"Wow, that was some bad copy/paste work.",negative
"Great! Awesome work, Nick, and thanks for the clarification, Bill. ",positive
"Best regards,
Richard",positive
I've just tested the shiro trunk with karaf-2.2 release and everything works fine :),positive
Sorry.,negative
I'd say to hell with windows minority :),negative
"I'm very busy for the moment so I didn't know when I 'd be able to the change myself, so if you can, your contribution would be one more time really appreciated.",negative
Sucks to rush a commit when an issue is under discussion.,negative
I misunderstood the case and sorry for the confusion.,negative
"Sorry, on holiday last week and just catching up.",negative
"Hmm, that sucks.",negative
"Wow, thanks Raghu, that's awesome and will save me a ton of time. ",positive
I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.,negative
Thanks Tony.,positive
This whole thing is really pretty trivial.,negative
"Oopps, bad move !",negative
"Thanks, Sravya!",positive
" if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way.",negative
Thanks a lot Subin.,positive
"Negative, I am against fetch groups in principle.",negative
Sorry for the mistake.,negative
"Holy hell, I think I found one problem with turning a bignum into anything else.",negative
This whole thing is very distressing to me.,negative
Not pretty. ,negative
"sorry, this bug is *not* fixed.",negative
thanks to Ernst Fastl for adding this.,positive
"Ugh, well that sucks.",negative
